"name","source","truth","estimated","error","relative_error"
"Growth rate","Methanosarcina soligelidi",0.006,0.109022888888889,0.103022888888889,17.1704814814815
"Growth rate","Methanoculleus sediminis",0,0.101773555555556,0.101773555555556,Inf
"Growth rate","Methanomethylovorans hollandica",0.06,0.161384222222222,0.101384222222222,1.68973703703704
"Growth rate","Methanolacinia paynteri",0.144,0.0456817777777779,0.0983182222222221,0.682765432098764
"Growth rate","Methanosarcina horonobensis",0.14,0.0447240000000001,0.0952759999999999,0.680542857142856
"Growth rate","Methanothermobacter tenebrarum",0.058,0.146983111111111,0.0889831111111112,1.53419157088123
"Growth rate","Methanosaeta pelagica",0.002,0.0909555555555558,0.0889555555555558,44.4777777777779
"Growth rate","Methanobacterium beijingense",0.049,0.128830888888889,0.0798308888888887,1.62920181405895
"Growth rate","Methanofollis ethanolicus",0.01,0.0826831111111114,0.0726831111111114,7.26831111111114
"Growth rate","Methanohalophilus portucalensis",0.14,0.0709415555555559,0.0690584444444441,0.493274603174601
"Growth rate","Methanococcoides methylutens",0.133,0.068016888888889,0.064983111111111,0.488594820384293
"Growth rate","Methanosarcina baltica",0.008,0.0714193333333335,0.0634193333333335,7.92741666666669
"Growth rate","Methanoregula boonei",0.017,0.0802708888888891,0.0632708888888891,3.72181699346407
"Growth rate","Methanosarcina spelaei",0.006,0.0688160000000001,0.0628160000000001,10.4693333333334
"Growth rate","Methanolobus bombayensis",0.156,0.094495777777778,0.061504222222222,0.394257834757833
"Growth rate","Methanobacterium kanagiense",0.031,0.0890595238095239,0.0580595238095239,1.87288786482335
"Growth rate","Methanobacterium bryantii",0.036,0.0923855555555553,0.0563855555555553,1.56626543209876
"Growth rate","Methanobacterium movens",0.027,0.0815502222222219,0.0545502222222219,2.02037860082303
"Growth rate","Methanobacterium petrolearium",0.018,0.0681339999999999,0.0501339999999999,2.78522222222222
"Growth rate","Methanobacterium flexile",0.032,0.0802884444444445,0.0482884444444445,1.50901388888889
"Growth rate","Methanospirillum hungatei",0.033,0.0812642222222224,0.0482642222222224,1.46255218855219
"Growth rate","Methanoculleus horonobensis",0.1,0.147278,0.047278,0.47278
"Growth rate","Methanobacterium thermaggregans",0.198,0.151220666666667,0.046779333333333,0.236259259259258
"Growth rate","Methanolobus profundi",0.139,0.0925435555555556,0.0464564444444444,0.334219024780175
"Growth rate","Methanohalophilus levihalophilus",0.039,0.0853457777777781,0.0463457777777781,1.18835327635328
"Growth rate","Methanocella conradii",0.11,0.155781555555556,0.0457815555555556,0.41619595959596
"Growth rate","Methanolinea tarda",0.007,0.0513804444444445,0.0443804444444445,6.3400634920635
"Growth rate","Methanobacterium ferruginis",0.037,0.0745171111111111,0.0375171111111111,1.01397597597598
"Growth rate","Methanosphaerula palustris",0.036,0.0692820000000001,0.0332820000000001,0.924500000000002
"Growth rate","Methanolobus zinderi",0.07,0.100896222222222,0.0308962222222224,0.441374603174606
"Growth rate","Methanolobus taylorii",0.116,0.0922693333333334,0.0237306666666666,0.204574712643677
"Growth rate","Methanolinea mesophila",0.024,0.0471871111111112,0.0231871111111112,0.966129629629633
"Growth rate","Methanolobus psychrophilus",0.063,0.0802882222222223,0.0172882222222223,0.274416225749561
"Growth rate","Methanocorpusculum labreanum",0.075,0.0879035555555562,0.0129035555555562,0.172047407407417
"Growth rate","Methanoregula formicica",0.042,0.0531000000000001,0.0111000000000001,0.264285714285717
"Growth rate","Methanocorpusculum aggregans",0.087,0.075995555555556,0.011004444444444,0.126487867177517
"Growth rate","Methanoculleus bourgensis",0.039,0.0497926666666668,0.0107926666666668,0.276735042735046
"Growth rate","Methanocella arvoryzae",0.087,0.0781597777777781,0.0088402222222219,0.101611749680712
"Growth rate","Methanocaldococcus jannaschii",1.6,1.59905066666666,0.000949333333336799,0.0005933333333355
"Growth rate","Methanosarcina siciliae",0.1,0.100635333333333,0.00063533333333339,0.0063533333333339
"Growth rate","Methanolobus vulcani",0.13,0.130589733333333,0.000589733333333425,0.00453641025641096
"Optimal growth temp.","Methanococcus maripaludis",85,60.768,24.232,0.285082352941177
"Optimal growth temp.","Methanolobus psychrophilus",18,36.0971666666667,18.0971666666667,1.00539814814815
"Optimal growth temp.","Methanosarcina baltica",21,37.1026666666667,16.1026666666667,0.76679365079365
"Optimal growth temp.","Methanoculleus thermophilus",55,40.8263333333333,14.1736666666667,0.25770303030303
"Optimal growth temp.","Methanopyrus kandleri",98,84.1506666666667,13.8493333333333,0.141319727891156
"Optimal growth temp.","Methanomethylovorans thermophila",50,37.3743333333333,12.6256666666667,0.252513333333334
"Optimal growth temp.","Methanolinea tarda",50,37.8683333333333,12.1316666666667,0.242633333333334
